,Author,Post Content,No of Reactions,No of Comments,Comment One,Comment Two
529,Prince Jane,,4,,"Guys PPADB service ya bone is very poor,they take weeks if not a month to respond yet CIPA e tsaya letsatsi","Guys PPADB service ya bone is very poor,they take weeks if not a month to respond yet CIPA e tsaya letsatsi"
530,Sharon Shaz AB,"BathongFNBBotswanaimprove your customer service mo maun aeee!ma security a systems le fa o re o bua le bone mme bare ke bone ba laola fa ntle ba dira matters worse,koore o ka se emise molwetsi fla o bona gre ga a kgone for 3hrs till a wela fa fatshe ke gone le thusang .",6,,,
531,Motsemme Kc Motsemme,I have a complaint with cell plus  phone dealer,6,5,,
532,Thato Mokgadi,"Question, my father'sStandard Chartered Botswanacard was cloned. He noticed swiping withdrawals even though his card was in his wallet. He went to the bank to report and they said they would tell him when they have concluded their investigations and tell him who stole the money. They didn't ask him to make a police report  they just blocked the card.My question is, what is an 84 year old man supposed to do with that information, a banka ga e mo latlhelle? They said there …See more",5,7,Go to the police. That is where it should start. I think it involves filling of an affidavit that you take to the bank...,
533,RragweThando LeNtando,"Nna tota matshwenyego ame akoStandard Chartered Botswana, Tuesday phakela gake re ke a casher ko Hemamo Branch, karata yame ebo e jewa ke machine, then I get told to collect it from Game City branch the next day which was yesterday, Wednesday..... Bathong Standard Bank has been my number #1 back for the past 13years but after yesterday's experience, I regret it. I went to Game City and I was told qué is only 1, weda you cash, deposit, collect card it is just 1, they were ab…See more",2,2,"If the government does not value & prioritize it's people, the business people will never be bothered...I mean who keeps them check, to make sure the service delivery culture is enhanced...No body ...so who cares",Hemamo ATM is chowing our cards like nobody's business...it got mine yesterday and my branch ke Game city...m gonna just let it have it...I just can't...every little thing you need from SCB you have to que for hours
534,Violet B Sikanyika,Setse re sa itse gore re ka bua re rengOrange the past 2 days re bona one awww bathong tlheng re duela ka madi,10,11,Waitse ha le bua ka orange le ntsenya chakgalo,Siela ko be mobile 
535,Rre Magapa,,88,78,Mascom sere tene jalo ngwana o winner why our WI Fi all of a sudden disa bereke.,Mascom sere tene jalo ngwana o winner why our WI Fi all of a sudden disa bereke.
536,Tosh Ntshole,"Dear Orange, how do we confirm names we send Orange Money to when all we see are asterisks? Why hide the names? No wonder people still send moneh to the wrong numbers",1,,,
537,Sis Joyce,"Ntse ke hano ka mascom,aitse ha k sena go thusiwa k tswa klarr mo mascom ke sokotse gompieno,gatwe k ye mscom mme golo kwa go nna ela go le di line,go pala ha kae ne gre ba unsubscribe this thing ka madi one bad a goga ela k sa ya mascom.tlhole re jelwa madi ela ka dilo tse di senang mosola,yone playwez yoo ke eng.ka bo ne k tshepa mascom gre,",,2,,
538,Libumbo Mercy Lithemba-Masole,"Erile ka di 12 July,2024 ka reka lebone la koloi la ko morago mo shopong yaMotovacmo Ftwn and unfortunately lebone leo lene le seo in most Motovac shops except ya MogoditshaneI decided to pay for it and asked a friend who was driving from Gaborone to Ftown gre ale ntseele. He got it the same day(12/07/24)Ha ke setse kre ke tsaya lebone to mechanic to fit ke fitlhela lebone le nale crack (I stay 305km from Ftown) then on a Saturday (20th July) kbo ke palama ke ya Ftown …See more",11,14,Tota e bokete you cannot judge them already and call them gore ba dirile maretshwa mme lebone le fitile ka motho yo mongwe ..what if the person you sent ale digile ene .,Cctv e teng...
539,Oakantse Aggisto Moakanyi Otlogetswe,Basic mode ya eng phakela o mmasekomo ele gore data yame e  kae a ko lo dirisaneng le nna sentle,,1,,
540,Vee Marea Koboto,batto gona le selo ga twe orange info golomo go tla go jela madi mo orange o saitse go tsena jang k hufatse thata go njetse 4.00 elo e botlhoko orange tlogela bogodu,2,3,Orange re tla fela re dule mogo yone pelo e bothoko mo go maswe k letse k re k subscriba e gana maabane today e ja madi ame,"Orangeeeeeee hmmm,ga kee rate lee seng"
541,Charismatic Comrade,Managed to pass by shoprite today and decided to let their manager know that their batch of taits may have packaging faults.I didn't get her name but she was sincere and understanding of the panic that came with finding foreign material in sealed foodstuff.,30,3,,
542,Kwashirai Chigodora,,44,14,Best service of morning coffee stop is at Shell by Riverwalk... 4 or 5 strong friendly team and delivered by a smiling guy.,Best service of morning coffee stop is at Shell by Riverwalk... 4 or 5 strong friendly team and delivered by a smiling guy.
543,Slo Stimela,"Dear Orange Botswana, the day I arrive at your Shops... Mobi-wizard o  le mo ntuelela...",,,,
544,Bakae Carlos Tnt Seloiso,"Dear Customer, your All My Friends-1week bundle will expire on 2024-08-08 21:14:03. Dial *121# to subscribe for another bundle.",5,5,"Orange ke mathata fa o subscribe my social 7 days oa go dirisa only four days,3 days go nna go sena network",Eo o subcribela 1 day twice nna ke dule le bone ba ba thusang di agent ga bana botho ba re tlhapatsa mo strateng especially monnamogolo o ba mo neetseng molepolole
545,Kagiso Maki Dibuile,Anyone experiencing this it's day 3,11,28,Had the same problem,Wai..orange betsho ke matsapa hela..nna ka bo 10pm e tsamaela ruri ke e bona phakela
546,Shylock Obert Dube,Hi there Mricho,4,8,"Richard Harriman I've been waiting for 45 days now. I've called the helpline 2-3 times every week, but all I get is the same scripted response: ""We've escalated your case."" Sometimes, as soon as I mention that I'm following up on my orange money case, … See more",Ohhhh now i see Orange....Tomorrow I'm going to their offices first thing in the morning..Arnt leaving that building without my money ha e le sengwe ketlata go ntshiwa ke mapodisi..Ke theogella ko Orange kamoso!!
547,Leungo Mphetang,Wow...she made my birthday the best...go to ayoba..best service ever amantle gaborone # ayoba...ke mo kopela Raise one tym,114,29,Wow!! Amantle Gaborone ,Amantle Gaborone Ke proud ka wena ntsalaka Kookie Gabs o mo godisitse sentle my love
548,Brighton Matare,Jenny Internet BotswanaI don't know now if it's a problem.first few months it has been supper slow.Callled support  every now and then. Alas they say everythjng is fine their side yet still it's. Slow.,2,5,ISPs in Bots should up their game,House of the dragon
549,Moabi Mmale,"A package will take 4 days from China to Botswana, only for it to take a year in BURS hands.",80,92,Golo ha re ba ntsi ebile re ka thwaafala hela ka lentswe le le lengwe ra bata dikarabo..ga go a nna sentle tota,Most times ga se BURS. Many shipping companies don’t disclose important information and cover it up ka “BURS”. I experienced it these past two weeks. Mpotse ke ta go totela.
550,Tumie Amos,Bagaetsho rena le seemo malatsia fa o reka motlakase online through bank like FNB ga bantshe di units ....maloba ke rekile motlakase wa P50 kadi 5 Aug le gone jaana ...Mme gake setse  ke botsa ba BPC gore go diragalang ba mpha karabo efa tlase,30,31,Check mo go history you will definitely get your token there.,
551,Kgosi King Banda,"All this, in less than 2 hoursOrangeOrange Botswana",2,1,Magodu dilo tse nxlaaa,
552,Otty Vik Lesole,"Lets talk aboutAckermans, the store does not have any offices in Botswana. if you have a query the teller calls their offices in S.A and if they can't help then it's your loss. If you make payment by EFT or any online just know it wont register and its your loss",5,3,Ackerman,
553,Phoenix Monica Tombo,,4,6,Heish yesterday i requested for help that Mascom employee is not good ..moreover she promised to call back..the way she is ng ng..mascom up your game plis,Heish yesterday i requested for help that Mascom employee is not good ..moreover she promised to call back..the way she is ng ng..mascom up your game plis
554,Godiraone Botshelo,Mascom wee ema fa plske batla o tle go nthalosetsa gore ke eng mo? I always receive these messages time and again di raa eng and ke tsa eng?,5,11,Ka data e bereka 2days,It worked for me
555,Sis Joyce,"BathoMascome tla lala  e mpheditse,tsatsi le k la bo 4 ntse ba goga 3.50 ha k ba lletsa bare k sende STOP PW,message was teng o gana go tsamaya mme go na le aitym yone e ba nnetseng go ija eo.gonana ha k letsa ha go arabiwe mme madi one  a tsewa nd ga ba na go a busakana.kedireng jang,a bone ga ba kgone go emisa golo moo ko go bone since di mssge di sa tsamae",6,7,Gone me message e tshwanang e mosula wayone keng .odirisiwa ke bo mang is there anyone yo batlang go jelwa madi ka such smss,STOP yoo gaa sendiwe hoo! 
556,Richard Harriman,There's wisdom here.,43,2,Vacation is a want,Needs before wants always
557,Keba Sutlhe,"If go na le the worst service probiders bathong keOrange.Its almost 3 days now ke sa receive di call mme ke kgona go letsa,not even to send a notification bogolo go bua gore mathata ke eng.Now i have sunscribed for their all my internet data,le eseng go bereka.Tota orange gatwe la re gotweng bathong!!!",8,12,Keba Sutlhee ke bona one ao mma nkile ka bowa ha go bone ba bua gre santse go baakanya wat wat kena le 4days  jaana kesa receive dicall,ijo nna kare ke nna hela
558,Gad Ba,"Access bank Botswana mogoditshane branch re kopa gore le oketse staff sa lona, a le raya gore go collect statement go tsaya 5 hours, go le normal fela mo go lona le re heta heta le sa re thuse. Kana le rona re a bo re ikopile ko re berekelang teng re berekela mo nakong",2,2,Good morning Gad Ba.Thank you for reaching out to us. Your concerns are duly noted.,
559,Netta January Adam,Red lantern restaurant was a total disappointment today. I've been a regular customer for over 25 years. They have up till now maintained their standards but today we ordered our usual dishes to our disappointment the beef and noodle dish was a whole lot of fat chuncksI asked for the chef but was met with a very irrate manager who after explaining my grief started to scream at me and told me how she serves this to everyone of her customers I further broke up the pieces of f…See more,124,174,Kana mme that's my fav restaurant even if ke tsenya order on my way ke fitlhela everything sele setAo sorry eseng mafura......,Get this through your mind like now  “ Chinese never liked us Blacks in their shops/resturanys. I mean never ever! Had the same experience @ 1 chinese resturant at Western by pass next to Liqaurama Choppies Mall. Never set foot there till it closed.
560,Motlalepula Mosimanethebe,selebi phikwe chicken licken why lo nthekisetsa nama e senyegileng ke lemoga ke le mo Bobonong lo setlhogo tota imagine family full house lo ntenne,3,17,"Ba go dirile sentle,o mpheta hela o sa bue le nna. Monate sukiri jam Tse ga di batle take away o tla sotlega",Bao ga ke ba rate kile ba re ga ba rekisetse batho ba ba apereng di crop top
561,Kgomotso Abigail Gaolebe,"Ao Chicken Licken Phikwe,malatsia hagona di chips ne bo couzy?? Ke lemoga ke le mo Bobonong imagine,where are my Chips?? Mxm mboreng waitse,so I should use p60 for transportation to come fetch my chips? This is annoying",114,140,Tswaa Hela koo,what P132 did chicken ijo fa ke tla ke nna vegan batho
562,Bawandi Gwere,Hungry Lion  Nswazwi please work on your issue ya di meal tsa Tuesday and train your employees well.you cannot force me to buy a meal ka drink or that chicken whatsover you call it.i took more than 10 minutes maabane ha till.i even at some point felt embarrassed gore what was i doing ther kesena madi.i simply asked the lady for a 2 pieces and chips with no drink or chicken what what.she told me its not possible all their meals ditswa jalo phakela.mma so i shud walk out of the…See more,133,87,"Bathong eseng dihuba tse Pedi,koore ba re o kgamiwe o swe!",Mme kana ba dira hela jalo wena ha obata meal wa Madi a kwadilweng bone bago bolella gore o reke eng se wena osenang Madi a sone
563,Bontle Chaa Modimo,"Moricho!Ga re a tsoga.... Lucky Star Pilchards Fish Ga e SA tlhole e le e ke e itseng......ba shotisa tamati ,e light it's no longer have dat red colour Nd it tastes like serobe....Eish!",24,17,Gape ga ba e gotlhe ko ntle,Tsenya tomato
564,Kamogelo Mokgelege,"FNB Botswanahow much of a patience does it take gore le thuse motho sentle?.The 16th I noticed that you froze my son's account kele ko ATM, I called to enquire lare KYC, I then sent all documents you requested via an email because I spent hours mo lineng ko branchn jwa Lona jwa F/Town... you then took 4 days lesa respond my emails until I laid a complaint via FNB App.",18,15,"Aah! FNB ke mathata, le ya ngwanake, a first year student,new account is frozen, I do not think it's got anything to do with KyC. Ba rile it will be fine ka moso iyoh!",
565,Keneilwe Moeng,"Hello, kante whats the warranty of second hand cars tsa ko Mogoditshane? According to the consumer act ya Botswana?",32,73,Mme kana these mogoditshane guys are in a high jump....the introduction of JAN BOTSWANA came with change in some legislations against them.kore Batswana gare itse our rights.,
566,Base Pini,"Bathong re bona dilo mo land board ya kgatleng bogolo thataartesia.Molefatsheng la rona re dumela gore go na le di oofice le reception pharologanyo ke gore client e ka letla fa bodiredi bo ile lunch,mme ko artesia ga go a nna jalo fa client e tshwanetseng go nna teng gatwe a seka a nna o lebagane le di oofice o ka utlwa dikgang kana oofice document di a timelela,potso ke gore an ooficer o ile lunch,potso e nngwe ke gore ke eng a sa lotlole oofice to protect oofice informati…See more",2,3,Land board ya kgatleng ke meleko,Artesia landbord service ya bone e bad more botlhe fela le mogolwane wa bone
567,Patricia Lucia Mpofu,Mascom yone ke scam so i recharged be e re ke setse ka 37.83 and i checked through requesting it is telling me i owe 46…….Note all along i have been paying the credit but it is never ending,20,10,,
568,Nicholas Gaamangwe Brown,,3,3,Hi guys does anyone have issues with purchasing online using an Access Bank Card?,"Good afternoon Nicholas,thank you for reaching out to us.Please inbox us your details on our page so we may assist"
569,Gofa Kane Ramos,Orange Botswana tlogelang go re tsietsa ur network ya internet e nna e le down all the tym nd matter worse tlogelang gore utswela data...go tla re motho a tswe mo go lona once a leke mascom,6,1,Orange maherehere,
570,Mosetsanagape Jim,Le bone motho yoo scammer sa Orange sa ditebogo  nna ke mo tatile a bo a nthoga,15,10,Kante these scammers kyc ga e ba expose?,Ditlhodi tse mcccm
571,Kgakololo Mpalo,"Can you please assist me here. I bought 20 bags of cement from Nirale Hardware in Shoshong. After using the first 12 bags, I asked them to keep the remaining 8 bags so that I collect them after sometime. They used thair truck to recollect them back and charged me a further P50 for transportation. Now I want my 8 bags back but the shop tells me that the owner at that time was not them. The original owner is telling me that he is now no longer there but cannot give me back my 8…See more",2,2,Ne go sena mokwalo?,
572,Sinnah Mothetho Thabano,"Morning Richard just yesterday I bought this polony ko Spar se se ko sunshine plaza ko marang, e senyegile rra e ntse green...unfortunately ke lathile receipt.. a P30 wame wa bofelo",46,37,Ga ya senyega ke mmala wa yone,l bought it last Sunday at pula spar the colour was green inside and it was smelling very bad l could not return it because l lost the receipts
573,Opona Mankgatau Lekuduba,Ministry of Health and Welness please check Gwest ClinicRe fola dilaene gosa tlhokahaleRe tsena mo clinicking ka nako bonnese ba tla ka nako ya bone and then take another ample of their time ba sa thuse opeO folela go tsaa mogo abo o boa o folela go itlhatlhobisa ntse nnese ale teng a ntse helaPolisi gare tsogele go clinicking hela renale matshelo a mangwe…See more,32,7,"Clinic eo bo nnese bateng hanko ba tlhwaafala at all,ke makgetho a mantsi kea teng ke fitlhela ba iketlile tota,",
574,Reuben Moeti,Mo maphateng a tshiletsego le di tshwanelo tsa sechaba ke akgolaka consumer and competition department ko ntshe Francistown. Ba thusa batho basa molebe gore ke wa class efe kana letso. Keep it up thank you guys,2,,,
575,Queen Kgotlaesele,"Internet service providers need to learn to respect customers, we are constantly complaining about them day and night.",21,84,Ask for a refund. That stock isn't coming.,Queen Kgotlaesele did you get assisted? If yes please do give a review again
576,Eunice Buti,Bathong thusang hoo ka this meter. O ne o gana go nna ON. I bought a new battery maabane o bo o nna ON and this morning it was OFF again.,73,145,Busetsa ko go bone dibaka tseo. Bontsi ba yone e nna hela ele on charge. Ha o ntsha go a tima,Whilst On Plug it and Switch on The Plug and Then remove the Battery   then leave it on go saver Battery
577,Judy Diamond,Lona ba Orange le a re tsietsa. How do I buy 4.GB data for 2 weeks and it's depleted in just one day? And for that matter me having used less than 3 hrs of the …See more,16,12,Mme bare tsentse hale ha ka madi a bone a nstakolla basa kgaole mo mading aba re tsietsang ka one mxm e ntena gore orange malatsi a,"Orange Botswana Mascom Botswana , Botswana Telecommunications Corporation - BTC"
578,Richard Harriman,,4,,,
579,Neo Mojalemotho,"Good evening people, those of you who are using internet ya CENE Media have you noticed that the quality of their service has declined significantly. I have been using it for almost 2 years now and currently I have to call their help desk 2-3 times in a month. I logged a call around around 1800hrs this evening and am told there is a technician in my area but he might only be able to assist me tomorrow.Cene Mediapls don’t do me like that I have paid pls render service.",4,7,Im deal with the same issue.....but my daughter using Jenny internet no prplems at all,"It has declined this year ,go worse. It’s frustrating! I’ve been with them since 2016"
580,Simon Onkatile,Mascomis currently one of the best service providers when it comes to networking country wide. I've been using Mascom network for so long and I never experienced much of incompetence from this service. There might be some of things where there is no compliance but it won't be more than 9%. The service is super top notchMascom we are number one because of you,76,100,Re utlwa ka wena,Owai
581,Tsaone Tsatsa Manabalala,BathongChicken Lickenairport junction what’s with the baby wings ke gore ne ke rumile the wrong people nkabo ke di ganne bone setse ba jele ae no 16 wings ele these small things,66,57,Ga lo ja tse dikima ganke lo bolela.. Re leletse ruri batswana kwa!!!,Nnya buwa nnete o di jele kana jang’ if not so - this is 2nd post i see with chicken licken wings and they sells themfor P132 ‘ that’s a a lot - i know inflation but - it’s baby wings le gone huka nyana NOT lefuka - robbery in the food industry
582,Tshepi Mighelo Baiker,,54,106,Orange batho ke reka airtime gompieno ebile e nyeletse  mme ga ke le kolote,Orange batho ke reka airtime gompieno ebile e nyeletse  mme ga ke le kolote
583,Thato Christ Jones,Challenging Perceptions: The Real Lives of Roadside Vendors,3,,,
584,Tsalorato Synthia Mosa Ephraim,Bathong nna kena le seemoORANGE BOTSWANA le dira jang totaabout 3 times ke subscriber all my friends di bundle abo di sa tsene gompiemo le ntsentse mo basic mode mme ke na le all my internet fela wa p20....koore lare go tweng and help line ya lona ga e tsene,8,10,I experienced the same so boring...,Ya berekwa network e
585,Tshephang Bakwena,"OrangeBotswana, you are making our lifes miserable here in Ramotswa. Le re tlhobogisa le ka batho coz your network e nna e le ko tlase hela . Ke gore ke cellphone, ke Reuter it’s all the same. Can’t wait for my contract with you to end n it will be the end of our friendship, I don’t mind loosing a number that I’ve used for more than 15yrs",12,23,Go terminate it no need to wait for it to end,Le mo nkoyaphiri mma ijoo
586,Galeboe Ntefo,Mascom Botswana mo le go irang ke bogodu how dp you charge me kesa letsa only because someone tried to call me on my mascom number and couldn't get through thwn when the call get diverted to my orange number you end up charging both of us qhy should i be charged for a call i didn't make golo mo bogodu hela jobo tlhwahetseng,5,4,,
587,Warona K Moss,Kfc Airport JunctionKFC BotswanaKFCit smells like something is rotting in that shop. Also ask the lady at the till to try to be nice. Had she not treated me like I don't deserve her attention I wouldn't have told u publicly.,1,,,
588,Tshepang Tshekelo,Dumelang.nna batho baodimo batho baBotswana Power Corporationba ntsentse dongalo.since i payed for first instalation kanovember.gak nna k ba leletsa fr the tym ba re ga gpna material until june na tisa ra konterala yo a e leng a ta a mpolelela gre o neetswi tiro ka may.now ba re transformer box e kgakala le jarata  they will refund me.after k ngongorega ba bo ba re k duele wayleave ko landboard gre ba kgonne g nthusa.their solutions they are draing up my porkets.i reporte…See more,,3,"Domestic, business and location of application?",
589,Lapelo Amor,Ke mme wa maabane o neng a thusiwa ko sefalana hyper francistown ke bone thuso ba ne ba kgona go nteletsa ba nthusitse ka lorato lo logolo,29,12,"Ba lathisa sight,ga re sa reka koo.thank u fr feedback ",
590,Lapelo Amor,FEEDBACK YA SEFALANA HYPER ba ne ba kopa mogala wa me mme ba nthusa ka lorato ba checha product pelo e wetse. Ka re THANK YOU go tsibogela selelo sa me,51,13,I knw gr they do help le gne abo bago paselela  keore gaba tshwane tota,Owaii nna um out sefalana tota
591,Lebo Tlhoms,Checkers airport junction dilo tse tsa lona tse ledi botsang mandarine they are very very dry koore not even juicenyana tse dingwe di bodile..I bought some last week same story..today ke rekile gape same thing..NTSHANG dilo tseo mo shelfong le lese go tshameka ka Madi a Rona,8,8,Ke local,I have realised gore better-quality fruits and vegetables are the ones sold by Batswana vendors go gaisa tse di mo the retail outlets
592,Dipti Dalia Patil,Liqui Fruit,501,492,A be goruwa ke nwe juice nna Ketshephile Tshepy Gabanakgotla da o bone good living things mcazo,
593,Charismatic Comrade,"I just bought a package of Taits from shoprite palapye and found this piece of packaging ya chips from a different brand( I think it's frimax because I only see ""fri"")",23,23,"On the back of that package there is complaints details, just send them an email and a picture of that and they will contact you through their agents. Once sent an email to Simba company after realizing their chips had what seemed like soil on them and… See more",Ke sone ne ba di chipisitse maloba tsene ke di rekile ne dile sharp askies
594,Kutlwano Rammusi,"Water Utilities Corporationsale ke riporta leakage ya metsi last week lore lo etla mo Mogoditshane, Gonaana metsi a tletse ka jarata…ke labo 4 kelo latela koo lore lo etla, hake letsa gompieno halo arabe",19,9,Ba tshwana hela le Police .. legodu le ikapeela abo le go tsholela ntse bare ba etla ahh,Nna ka kwano its been over 4 years..m soo tired of WUC..ke nna fela ke ile Riverwalk ebile ke tsholeditse matsogo..metsi a tletse ka jarata n go ntse leswe tota.e padile koporase ya metsi.le mokhanselara nkile ka mmontsha ke kopa gore bogolo ene a ye g… See more
595,Shepered Mutsvangwa,"DStv Botswana called and sent me a message on Friday last week . They have a promotion  where one pays P293 for compact plus for 2 months viewing.Paid on Sunday ,called them yesterday Monday and got connected.l was disconnected today and when l called again today in the morning was told would be connected in 10mins but till now nothing.( Mind you every call to their call centre ,lm using my airtime and they always put you on long holds. DStv botswana rectify this problem",9,14,Heee my brother you are going to suffer for the longest time ask me wena until you go to them it is going to be a tough time of your life. DSTV Botswana ,
596,Gomo Ramgreek,Sefalana TradingKante gase gore each time I buy from ur shop Abe ke dirisa karata ya Lona ke rekile ka Madi a qualify ke tshwanetse ka romellwa msg yo tshwanang le ye?ke rekile more than 3 times after this msgs but dololo ka di msg,16,48,Are u following the Instructions?,"Lenna mma gontse yalo,, ebile ke ihlobogile"
597,Kenoo,"Bathong are bueng ka phaleche ke e, e bosula gore ba e chenchile...",76,181,E bosula mohLe MAQ washing powder ke zero malatsi ah,
598,Richard Harriman,,6,1,,
599,Fav Tasi,*Its been almost 2 weeks water utilities promising to come and fix the flooding drains which has affected a large portion of residents(plots) just by kagisongcentre lodge in mogoditshane...go nna gotwe kamoso meanwhile it gets Worse day by day...,19,26,Busetsang tiro e ko khanseleng,Totally disgusting
600,Keneilwe Modipane,"Orange ke kopa le buse madi ame...letse ke reka motakase ka thebenyana wame wa bohelo and I never received token mme lona le gogile madi, right now ke mo lehihing ka re ke cheka last token ya re ga kena any recent electricity purchases using this vendor. Ae ke tenegile tota",8,5,Keneilwe Modipane k kgwedi ya bo 3 ntse madi a pala go mpoela,Nna bene baa mousetrap after 3dys
601,Salema Bw,I want to take this and praise one of the employee who helped me ka lorato kere God bless you nnaka o nale good customer service e ntleI was buying meat beef stew mo Choppies e mo moshupa ha gare ga motse I even offered him a coke kere continue with ur great work I was satisfied,19,1,,
602,Yame Yone,Access bank ka boikokobetso ke kopa le emise go goga madi ame tirisanyo yame le lona sale e eme ka June ga ke na nako ya go thola ke tobatoba ko office ya lona pliz le ntiya go dira dilo tse di bothokwapliz ga ke bate go le latela,1,1,Good day Yame. Thank you for contacting us. Kindly inbox us your contact details so we may assist.,
603,Kabo Modise,,8,6,"Waitse ABSA ke mathata ha o ka reka motlakase or airtime ga ba buse madi ha theko e sa atlega, o tlaa letsa o ba latele mme go re madi a boe lebala.","Waitse ABSA ke mathata ha o ka reka motlakase or airtime ga ba buse madi ha theko e sa atlega, o tlaa letsa o ba latele mme go re madi a boe lebala."
604,Richard Harriman,From our comrades at the Competition and Consumer Authority. When can we expect to see some people in handcuffs?,11,7,Of little relevance unless the punishments are stated and enforced..,
605,Imanu Keby Amuhtnat,OrangeNnyaa bathong jaanong lona le dira mo go feteletseng tota..I subscribed ND sent just 1 msg then Le bo Le re di sms di fedile.kana legale ke nna ke sa thaloganyeng sekgowa,1,,,
606,Kefilwe Dodzi,Batho ke rekile bolao last year ko Ok Furniture Restonic .3 days ke sena gobo reka bolao bo simolola golelela.Motsatsing labo 8 ke boela Ok and demand go neelwa another brand ya boloa.kefa ba gana bare 7 days o wetse nka tsenya complain batla nthusa.and I took them four months gore ba nthuse.they gave me another Bed same brand.1 month down the line bolao same story ebile boaphusumela.kenna yoo ke boela teng gape.even today gaise ke bone Thuso a mme ke tlabo kele Wrong fa …See more,118,205,Nna le nna I bought a bed ko OK Furniture ko pilane ka di 21 tsa July..8 august bolao bo a lela bo ntse khuti..Ke tswa go ikuela gatwe 7days o hetile..waitse ke eng to think I have laybyed fridge ko go bone gape,
607,Mmaleepi Motlhagodi,,43,68,Waitse orange ya ntshokodisa Nako le Nako e tsaya aitym yame,Gase ko k kwano.
608,Tlholego Mareiz Motoloki,Watch out this are scammers from Cooks Islands,,1,Ba phaketse ba nteleditse mme ga ke a araba,
609,KD Doreen,"Hello...Richard 2 months back I did a laybye at funmart(station) after completing the laybye they failed to deliver the goods as promised  their reasons being that they are out of stock, could u pliz assist me to be refunded my money back...Its been 2 weeks since...How will it take for Furnmart take to refund me",21,1,Ebile it should come back to you with interest,
610,Sarah Van De Besto,"On Saturday, I was humiliated by three CB Store staff members at Nzano Mall, Francistown. I went to the store to purchase sunglasses after forgetting mine in a cab. Upon entering, I went straight to the sunglasses section, selected a pair, and queued to pay. After making my purchase, I noticed some fingerprints on the lense and asked the cashier for something to clean them with. She responded by saying she could give me toilet paper but I declined explaining that it could scr…See more",571,221,"Two wrongs can’t make it right, le wena o nyobokile kgang ya gago ka go sutlha ka sekipara sa bone……..but anyway ,the customer is always right.",Mathata a gago ke Eng le nna? Kego tlhoketse maitseo leng?
611,Bekezela Relebagantswe,NKK,623,1K,Odiilwe ke bahlong,Hela ha ke thwahaletse batswana ke tla ha
612,T Kentshitswe Oathotse,Dumelang.kemang okileng a experiencer situation etabong o senda madi abo asa goroge mme balance e supa a dule mo accounten? Last transactions gae supe dinumber mme e supa gore go dulebokae.moOrange money,,,,
613,Slim Zayne Gakebao,OrangeI have registered a case with you on 26 June and I was promised that the case will be attended in 3 working days..... Now we are approaching the 2nd month still my case is unsolved. I have called your call centre more than 15 times but i dont see any solutions. What does it take for you to solve our cases?????,3,,,
614,Katso Gaobakwe,"Be careful when you buy from John Craig, they have a tendency of refusing to exchange their own labelled clothes, as if you can buy their label anywhere else....... I have had such a terrible experience with their game city store, the guy who was selling to me gave me the wrong size (i asked for XL he packaged me M) just to make a sale!!!!! later on they gave me the run around to exchange until they refused to refund me or exchange their goods saying they want the original re…See more",4,1,Katso Gaobakwe maybe contact their head office and report them. I doubt it’s their policy to refuse exchanges/refunds. Ba go tlwaela ba Gamecity.,
615,Țãpś Dato Bw,,10,9,Bathong Mascom yare ka e kolota mme nna a nke ke kolota ,Nna tta ba kile ba nkama le today..Owed them P12 ka tsenya P25 ba ituela after two days ke sena go kolota...Ka bo kere ke a kolota ke top mo airtym e setseng ke dire masika le ditsala ya 1 day le my social ya beke e mpolella gre gre ke kolote i hv to b… See more
616,Sis Geeh,NMG your service is top notch.  Your communication and updates are great. You meet set deadlines. Ke le da Gaborone le Batho ba teng. Thank you NMG,3,,,
617,Patience Manka Phiri,Bought combo ko fours light industrial francistown.  Ur rice e nale Di chocolate particles inside,9,8,That's chocolate flavour..,Return it
618,Iam Tez,"OK Furniture BotswanaI am highly unsatisfied by your Mahalapye store service.I bought a 4burner electric stove on Friday 2nd August , got the stove connected on Saturday and realized the other burner has unusual sound. Went to your store and I was told I will be assisted today Monday , only for them to tell me they will assist on Tuesday. Mind you I keep telling your staff I moved to a house without a stove I am forced to buy food because I have a stove that is not working …See more",13,7,OK di ntse hela jalo tsotlhe le ya Molepolole ba kile ba ntira jalo nkile ka botabota ko go bone dikgwedi,OK okare etla Tena! Ne ke rile kea go reka sengwe kogo bone gaele gore ba ntse jalo ke a chaisa. Ke lole thata le Bradlows in the past weeks ke lapile
619,Suhel Sidat,"How many times should it be said, cable theft is economic sabotage and should be linked with terrorism, honestly. Every week in some area of the country, city, town, village, there is cable theft happening, and now its not funny anymore.",7,1,Economic Sabotage at the highest level,
620,Bakani Elijah Tabona,"Bathong e sale mascom e ntseela madi mo my zaka acount ka march,til date,ntse ba bua gore their team is working in to refund me,evry day,guys nka reporta kae gore semausu se se buse Madi ame bo ke tswala acountnyana e ya bone ya my zaka?",12,32,O kae social media manager wa mascom wa go posta gore this is the best mobile service provider hewee hewee ,
621,Prince Jane,Why orange Money Visa card esa bereke Mo CIPA?,9,16,Gae bereke koo,"Orange money is not recognized as a bank, that's why it can't make online payments"
622,Goitseone Duna Motsewabeng,Trans cash & carry palapye you can't just give Kaone his day off's during the week a tshwanetse gore thusa nd no one is helping us with qoutes and  that's poor customer service at liqour please look into that .,41,2,O kwadile eng?,Ng ng
